Number of header lines; NASA Ames sub-format code,44,3010
Name of data creator,None
Institute of data creator,Data held at British Atmospheric Data Centre (BADC), Rutherford Appleton Laboratory, UK.
Data section,21959.0
Data section,22.7,18.6,13.1
Data section,16.8,10.8,8.4
Data section,10.4,8.7,7.9
Data section,4.0,4.8,2.3
Data section,21989.0
Data section,22.9,18.7,13.3
Data section,16.7,10.8,8.9
Data section,9.9,8.7,8.5
Data section,3.7,5.2,2.8
Data section,22020.0
Data section,28.4,24.1,18.4
Data section,21.8,15.7,13.6
Data section,14.9,13.6,13.3
Data section,8.3,9.7,7.5
Data section,22050.0
Data section,35.7,31.2,24.8
Data section,29.0,22.1,19.7
Data section,21.3,19.8,19.3
Data section,14.5,15.9,13.2
Data section,22081.0
Data section,39.4,35.0,29.2
Data section,33.3,26.7,24.6
Data section,26.2,24.9,24.7
Data section,19.9,21.4,18.7
Data section,22111.0
Data section,34.8,31.5,27.4
Data section,30.2,25.4,24.3
Data section,24.4,24.4,25.0
Data section,20.3,22.0,20.3
Data section,22142.0
Data section,34.1,31.2,27.5
Data section,29.6,25.2,24.3
Data section,24.4,24.4,25.1
Data section,20.7,22.0,20.4
Data section,22173.0
Data section,33.7,30.2,25.8
Data section,28.7,23.7,22.3
Data section,22.7,22.4,22.6
Data section,18.0,19.6,17.6
Data section,22203.0
Data section,31.5,27.4,22.4
Data section,26.0,20.4,18.4
Data section,19.7,18.5,18.3
Data section,13.9,15.2,12.8
Data section,22234.0
Data section,24.4,20.5,15.4
Data section,18.8,13.2,11.1
Data section,12.7,11.2,10.3
Data section,6.3,7.5,4.9
Data section,22264.0
Data section,19.5,15.7,10.6
Data section,13.9,8.5,6.0
Data section,8.1,6.2,4.9
Data section,1.9,2.7,0.3
Data section,22295.0
Data section,18.4,14.4,9.1
Data section,13.2,7.3,4.8
Data section,7.2,5.0,3.8
Data section,0.9,1.1,-1.5
Data section,22325.0
Data section,17.5,13.3,8.3
Data section,11.7,5.6,3.3
Data section,5.0,3.4,2.8
Data section,-1.4,-0.4,-2.9
Data section,22354.0
Data section,24.9,20.7,15.4
Data section,18.4,12.6,10.9
Data section,11.8,10.4,10.4
Data section,5.7,7.0,4.5
Data section,22385.0
Data section,30.3,26.2,20.6
Data section,24.0,18.0,15.9
Data section,16.9,15.9,15.7
Data section,10.6,12.4,9.9
Data section,22415.0
Data section,36.2,31.5,25.2
Data section,29.7,22.9,20.5
Data section,22.3,20.8,20.3
Data section,15.8,17.3,14.6
Data section,22446.0
Data section,38.7,34.3,28.9
Data section,32.8,26.3,24.5
Data section,25.7,24.4,24.7
Data section,19.6,21.1,18.4
Data section,22476.0
Data section,34.8,31.6,27.6
Data section,30.2,25.6,24.7
Data section,24.7,24.7,25.6
Data section,20.7,22.5,20.9
Data section,22507.0
Data section,33.2,30.3,26.7
Data section,28.7,24.4,23.9
Data section,23.5,23.5,24.5
Data section,19.8,21.4,19.7
Data section,22538.0
Data section,34.4,30.9,26.5
Data section,29.5,24.5,23.2
Data section,23.5,23.2,23.6
Data section,18.9,20.5,18.5
Data section,22568.0
Data section,30.9,26.8,22.4
Data section,25.4,19.7,18.3
Data section,19.1,18.0,18.1
Data section,13.3,14.6,12.0
Data section,22599.0
Data section,23.6,20.1,14.9
Data section,19.0,13.2,10.9
Data section,12.9,11.3,10.4
Data section,6.8,7.8,5.4
Data section,22629.0
Data section,18.1,14.2,9.2
Data section,13.3,7.6,5.1
Data section,8.0,5.4,4.3
Data section,1.9,2.3,-0.4
Data section,22660.0
Data section,17.1,13.3,8.0
Data section,12.1,6.1,3.6
Data section,5.9,3.9,2.6
Data section,-0.5,-0.1,-2.6
Data section,22690.0
Data section,20.2,16.3,10.9
Data section,14.6,8.5,6.2
Data section,8.2,6.3,5.6
Data section,1.8,2.7,0.3
Data section,22719.0
Data section,24.8,20.6,15.0
Data section,18.7,12.9,11.1
Data section,12.2,10.9,10.6
Data section,6.2,7.6,5.0
Data section,22750.0
Data section,30.7,26.5,20.8
Data section,24.2,18.2,16.0
Data section,16.9,16.1,15.6
Data section,10.4,11.9,9.6
Data section,22780.0
Data section,35.2,30.5,24.3
Data section,28.4,21.6,19.0
Data section,20.7,19.4,18.9
Data section,14.0,15.6,13.0
Data section,22811.0
Data section,38.6,34.2,28.7
Data section,32.6,26.1,24.0
Data section,25.5,24.3,24.2
Data section,19.3,20.7,18.0
Data section,22841.0
Data section,34.6,31.5,27.6
Data section,30.0,25.4,24.4
Data section,24.2,24.4,25.1
Data section,20.0,21.8,20.1
Data section,22872.0
Data section,33.4,30.5,27.1
Data section,29.0,24.7,23.8
Data section,23.6,23.8,24.6
Data section,19.6,21.2,19.4
Data section,22903.0
Data section,31.7,28.8,24.6
Data section,27.2,22.4,21.1
Data section,20.7,21.1,21.5
Data section,16.1,18.0,16.5
Data section,22933.0
Data section,30.6,26.6,21.9
Data section,25.1,19.6,17.8
Data section,18.8,17.8,17.8
Data section,13.0,14.6,12.3
Data section,22964.0
Data section,24.0,20.1,15.5
Data section,18.7,13.1,11.3
Data section,12.4,11.0,10.7
Data section,6.1,7.1,4.3
Data section,22994.0
Data section,18.5,14.5,9.3
Data section,13.6,7.9,5.3
Data section,8.0,5.7,4.5
Data section,1.7,1.7,-1.2
Data section,23025.0
Data section,18.5,14.4,9.6
Data section,13.1,7.1,4.5
Data section,6.8,4.8,3.6
Data section,0.4,0.5,-2.3
Data section,23055.0
Data section,21.7,17.6,12.0
Data section,15.8,9.8,7.1
Data section,9.1,7.5,6.7
Data section,2.8,3.5,0.8
Data section,23084.0
Data section,24.5,20.3,14.8
Data section,18.3,12.4,10.5
Data section,11.8,10.3,10.2
Data section,5.6,7.4,4.8
Data section,23115.0
Data section,29.3,25.0,19.5
Data section,23.1,17.0,15.0
Data section,16.4,15.1,15.0
Data section,9.9,11.6,9.3
Data section,23145.0
Data section,33.8,29.2,23.2
Data section,27.1,20.3,18.0
Data section,19.8,18.4,18.0
Data section,13.2,14.9,12.2
Data section,23176.0
Data section,39.4,34.9,29.2
Data section,33.4,26.9,24.5
Data section,26.2,24.9,24.8
Data section,20.1,21.7,18.9
Data section,23206.0
Data section,35.6,32.3,28.4
Data section,30.5,25.8,25.0
Data section,24.7,24.8,25.5
Data section,20.6,22.2,20.5
Data section,23237.0
Data section,33.1,30.1,26.7
Data section,28.7,24.4,23.3
Data section,23.2,23.2,24.0
Data section,19.3,21.0,19.4
Data section,23268.0
Data section,33.1,29.7,25.6
Data section,28.2,23.3,22.0
Data section,22.3,22.0,22.4
Data section,17.6,19.3,17.5
Data section,23298.0
Data section,32.3,28.3,23.4
Data section,26.7,21.2,19.4
Data section,20.3,19.3,19.2
Data section,14.6,16.1,13.7
Data section,23329.0
Data section,25.4,21.5,16.8
Data section,20.1,14.4,12.1
Data section,13.9,12.2,11.4
Data section,7.7,8.9,6.3
Data section,23359.0
Data section,19.5,15.7,10.9
Data section,14.6,9.0,6.8
Data section,9.0,6.9,5.9
Data section,2.9,3.5,1.0
Data section,23390.0
Data section,14.5,10.3,5.8
Data section,9.6,3.5,0.9
Data section,3.4,1.3,0.7
Data section,-3.2,-2.3,-4.8
Data section,23420.0
Data section,18.1,13.9,8.7
Data section,12.3,6.1,4.3
Data section,5.6,3.8,3.3
Data section,-1.1,-0.2,-2.7
Data section,23450.0
Data section,25.8,21.6,16.6
Data section,19.7,13.8,11.8
Data section,12.5,11.3,11.0
Data section,6.3,7.9,5.5
Data section,23481.0
Data section,30.3,26.0,20.7
Data section,23.6,17.6,15.4
Data section,16.3,15.1,14.8
Data section,9.9,11.5,9.2
Data section,23511.0
Data section,34.4,29.7,23.5
Data section,27.6,20.7,18.2
Data section,19.7,18.2,17.8
Data section,13.0,14.6,11.9
Data section,23542.0
Data section,37.7,33.2,27.6
Data section,31.7,25.2,22.9
Data section,24.6,23.4,23.3
Data section,18.4,20.0,17.4
Data section,23572.0
Data section,33.6,30.3,26.5
Data section,28.7,24.1,23.3
Data section,23.1,23.2,24.0
Data section,19.1,20.9,19.2
Data section,23603.0
Data section,33.7,30.8,27.4
Data section,29.3,25.0,24.0
Data section,23.8,23.9,24.7
Data section,20.0,21.8,20.1
Data section,23634.0
Data section,33.1,29.7,25.7
Data section,28.1,23.1,22.2
Data section,22.2,21.9,22.6
Data section,17.4,19.2,17.3
Data section,23664.0
Data section,30.8,26.9,22.4
Data section,25.3,19.7,17.9
Data section,18.9,17.8,17.5
Data section,13.1,14.5,12.1
Data section,23695.0
Data section,24.2,20.3,15.6
Data section,19.3,13.5,11.6
Data section,13.4,11.6,11.2
Data section,7.3,8.3,5.6
Data section,23725.0
Data section,18.5,14.6,10.1
Data section,13.5,8.1,6.1
Data section,7.9,5.9,5.1
Data section,1.9,2.6,0.2
Data section,23756.0
Data section,18.7,14.5,9.7
Data section,13.4,7.5,5.3
Data section,7.3,5.4,4.6
Data section,1.0,1.9,-0.7
Data section,23786.0
Data section,18.6,14.4,9.3
Data section,12.5,6.4,4.1
Data section,5.7,4.0,3.3
Data section,-1.0,-0.4,-3.1
Data section,23815.0
Data section,24.3,20.1,14.7
Data section,18.2,12.3,9.9
Data section,10.8,9.6,9.2
Data section,4.5,6.0,3.7
Data section,23846.0
Data section,27.3,23.0,17.9
Data section,20.7,14.7,12.8
Data section,14.1,12.8,12.5
Data section,7.8,9.5,7.1
Data section,23876.0
Data section,33.9,29.2,23.0
Data section,27.2,20.3,18.0
Data section,20.1,18.5,18.0
Data section,13.4,14.9,12.2
Data section,23907.0
Data section,38.5,34.0,28.1
Data section,32.4,25.9,23.7
Data section,25.3,24.0,23.7
Data section,19.0,20.5,17.9
Data section,23937.0
Data section,33.9,30.7,26.9
Data section,29.0,24.5,23.8
Data section,23.4,23.5,24.3
Data section,19.3,21.2,19.5
Data section,23968.0
Data section,32.0,29.1,25.8
Data section,27.5,23.2,22.5
Data section,22.2,22.3,23.1
Data section,18.3,20.4,18.8
Data section,23999.0
Data section,33.1,29.6,25.5
Data section,28.2,23.2,21.8
Data section,22.1,22.0,22.3
Data section,17.6,19.3,17.4
Data section,24029.0
Data section,31.9,27.9,23.2
Data section,26.4,20.9,19.0
Data section,20.2,19.2,19.0
Data section,14.4,15.9,13.5
Data section,24060.0
Data section,25.7,21.9,17.3
Data section,20.6,14.9,13.1
Data section,14.4,12.8,12.4
Data section,8.2,9.5,6.9
Data section,24090.0
Data section,18.2,14.3,9.9
Data section,13.3,7.7,5.8
Data section,7.8,5.5,4.8
Data section,1.6,2.2,-0.4
Data section,24121.0
Data section,19.0,14.9,9.7
Data section,13.9,7.9,5.3
Data section,8.3,5.8,4.8
Data section,2.0,2.4,0.2
Data section,24151.0
Data section,21.6,17.4,11.8
Data section,15.7,9.7,7.0
Data section,9.1,7.4,6.8
Data section,2.7,3.8,1.4
Data section,24180.0
Data section,23.9,19.8,14.5
Data section,17.7,11.9,9.8
Data section,10.7,9.5,9.2
Data section,4.4,6.0,3.7
Data section,24211.0
Data section,28.8,24.6,19.1
Data section,22.2,16.2,14.1
Data section,15.4,14.0,13.7
Data section,8.9,10.5,8.2
Data section,24241.0
Data section,35.2,30.6,24.2
Data section,28.4,21.6,19.0
Data section,20.7,19.3,18.9
Data section,14.0,15.5,12.9
Data section,24272.0
Data section,38.7,34.3,28.4
Data section,32.8,26.2,23.9
Data section,25.7,24.5,24.2
Data section,19.5,21.0,18.3
Data section,24302.0
Data section,34.3,31.1,27.1
Data section,29.3,24.7,23.8
Data section,23.6,23.7,24.4
Data section,19.5,21.2,19.5
Data section,24333.0
Data section,33.2,30.3,26.6
Data section,28.8,24.4,23.3
Data section,23.3,23.3,24.1
Data section,19.3,21.0,19.4
Data section,24364.0
Data section,32.0,28.5,24.3
Data section,26.9,22.0,20.7
Data section,20.9,20.6,21.1
Data section,16.1,17.7,15.9
Data section,24394.0
Data section,30.0,26.0,21.0
Data section,24.3,18.7,16.9
Data section,17.8,16.9,16.6
Data section,11.8,13.4,11.1
Data section,24425.0
Data section,24.3,20.3,15.3
Data section,19.2,13.4,11.3
Data section,13.2,11.5,10.7
Data section,6.9,8.0,5.3
Data section,24455.0
Data section,18.3,14.5,9.4
Data section,13.3,7.7,5.4
Data section,7.6,5.4,4.7
Data section,1.6,2.2,-0.3
Data section,24486.0
Data section,16.5,12.4,7.2
Data section,11.2,5.2,2.5
Data section,4.8,2.8,1.7
Data section,-1.7,-1.0,-3.6
Data section,24516.0
Data section,20.8,16.7,10.9
Data section,14.7,8.6,6.1
Data section,7.7,6.1,5.4
Data section,1.2,1.8,-0.8
Data section,24545.0
Data section,23.4,19.2,13.8
Data section,17.2,11.3,9.2
Data section,10.2,8.9,8.7
Data section,4.0,5.4,3.0
Data section,24576.0
Data section,29.0,24.7,19.2
Data section,22.6,16.5,14.6
Data section,15.7,14.4,14.2
Data section,9.2,11.2,8.8
Data section,24606.0
Data section,34.2,29.5,23.0
Data section,27.4,20.6,18.0
Data section,19.7,18.4,17.7
Data section,12.9,14.6,11.9
Data section,24637.0
Data section,39.0,34.7,29.0
Data section,32.9,26.5,24.5
Data section,25.6,24.5,24.3
Data section,19.4,21.0,18.3
Data section,24667.0
Data section,35.0,31.8,28.1
Data section,30.3,25.7,24.8
Data section,24.5,24.7,25.4
Data section,20.4,22.3,20.6
Data section,24698.0
Data section,32.6,29.8,26.1
Data section,28.3,24.0,23.2
Data section,23.0,23.1,23.9
Data section,19.2,21.0,19.5
Data section,24729.0
Data section,33.5,30.0,25.7
Data section,28.4,23.5,22.3
Data section,22.3,22.1,22.6
Data section,17.8,19.4,17.5
Data section,24759.0
Data section,29.6,25.7,20.7
Data section,23.9,18.5,16.7
Data section,17.5,16.6,16.4
Data section,11.6,13.2,10.8
Data section,24790.0
Data section,24.5,20.6,15.3
Data section,19.2,13.6,11.3
Data section,13.0,11.5,10.7
Data section,6.7,7.9,5.3
Data section,24820.0
Data section,18.7,14.9,9.8
Data section,13.8,8.3,5.9
Data section,8.3,6.3,5.2
Data section,2.2,2.9,0.5
Data section,24851.0
Data section,15.6,11.4,6.3
Data section,10.3,4.4,1.9
Data section,4.2,2.1,1.2
Data section,-2.1,-1.4,-3.8
Data section,24881.0
Data section,16.9,12.8,7.3
Data section,11.1,5.1,2.6
Data section,4.6,2.9,2.3
Data section,-1.8,-0.5,-2.9
Data section,24911.0
Data section,24.4,20.3,14.8
Data section,18.2,12.4,10.5
Data section,11.4,10.2,10.0
Data section,5.2,6.7,4.4
Data section,24942.0
Data section,30.1,25.8,20.0
Data section,23.5,17.4,15.2
Data section,16.5,15.3,15.0
Data section,10.2,11.6,9.2
Data section,24972.0
Data section,33.4,28.7,22.6
Data section,26.6,19.7,17.5
Data section,19.1,17.7,17.3
Data section,12.3,13.9,11.3
Data section,25003.0
Data section,39.0,34.7,29.1
Data section,33.0,26.5,24.3
Data section,25.7,24.5,24.3
Data section,19.5,21.1,18.4
Data section,25033.0
Data section,34.8,31.6,27.6
Data section,30.0,25.3,24.5
Data section,24.4,24.5,25.1
Data section,20.3,22.2,20.6
Data section,25064.0
Data section,33.1,30.3,26.5
Data section,28.7,24.4,23.5
Data section,23.3,23.4,24.2
Data section,19.5,21.3,19.7
Data section,25095.0
Data section,34.5,31.1,26.9
Data section,29.4,24.5,23.1
Data section,23.3,23.1,23.3
Data section,18.6,20.2,18.3
Data section,25125.0
Data section,30.1,25.9,20.9
Data section,24.4,18.8,16.8
Data section,18.0,16.9,16.7
Data section,12.2,13.6,11.2
Data section,25156.0
Data section,24.7,20.8,15.8
Data section,19.4,13.8,11.8
Data section,13.4,11.9,11.3
Data section,7.3,8.5,5.9
Data section,25186.0
Data section,18.4,14.5,9.7
Data section,13.5,7.9,5.3
Data section,7.2,5.3,4.1
Data section,1.0,1.7,-0.7
Data section,25217.0
Data section,16.9,12.8,7.7
Data section,11.4,5.4,3.0
Data section,5.0,3.1,2.4
Data section,-1.3,-0.8,-3.3
Data section,25247.0
Data section,18.8,14.6,9.1
Data section,12.5,6.4,4.2
Data section,5.5,4.0,3.4
Data section,-1.2,-0.4,-2.9
Data section,25276.0
Data section,27.2,23.1,17.6
Data section,21.0,15.3,13.0
Data section,13.7,12.8,12.5
Data section,7.4,9.0,6.6
Data section,25307.0
Data section,29.6,25.3,19.8
Data section,22.9,16.9,14.7
Data section,15.3,14.1,13.9
Data section,8.9,10.4,8.1
Data section,25337.0
Data section,34.2,29.5,23.4
Data section,27.4,20.6,18.2
Data section,20.0,18.6,18.1
Data section,13.4,15.0,12.3
Data section,25368.0
Data section,38.6,34.1,28.4
Data section,32.5,26.0,23.8
Data section,25.2,24.0,23.9
Data section,18.9,20.6,18.0
Data section,25398.0
Data section,35.3,32.1,28.0
Data section,30.1,25.5,24.5
Data section,24.4,24.5,25.1
Data section,20.3,22.0,20.3
Data section,25429.0
Data section,33.7,30.9,27.2
Data section,29.2,25.0,24.0
Data section,23.8,23.9,24.6
Data section,19.9,21.6,20.1
Data section,25460.0
Data section,33.2,29.7,25.4
Data section,28.1,23.2,21.9
Data section,22.1,21.7,22.2
Data section,17.5,19.1,17.2
Data section,25490.0
Data section,31.8,27.8,22.8
Data section,26.2,20.7,18.7
Data section,19.7,18.8,18.5
Data section,13.9,15.4,13.1
Data section,25521.0
Data section,25.8,21.9,17.2
Data section,20.6,14.9,12.8
Data section,14.2,12.8,12.0
Data section,7.8,9.1,6.5
Data section,25551.0
Data section,20.4,16.4,11.6
Data section,15.3,9.7,7.2
Data section,9.5,7.4,6.4
Data section,3.3,3.8,1.4
Data section,25582.0
Data section,17.9,13.8,8.5
Data section,12.6,6.6,4.3
Data section,6.6,4.6,3.6
Data section,0.1,0.8,-1.7
Data section,25612.0
Data section,20.1,16.0,10.3
Data section,14.5,8.5,5.8
Data section,8.0,6.2,5.5
Data section,1.8,2.8,0.4
Data section,25641.0
Data section,24.0,19.9,14.4
Data section,17.8,12.0,10.1
Data section,11.4,10.1,9.8
Data section,5.1,6.5,4.2
Data section,25672.0
Data section,32.4,28.1,22.3
Data section,25.7,19.7,17.5
Data section,18.7,17.5,17.1
Data section,12.2,13.7,11.3
Data section,25702.0
Data section,37.5,32.8,26.4
Data section,30.7,23.9,21.3
Data section,23.2,21.6,21.2
Data section,16.6,18.0,15.3
Data section,25733.0
Data section,38.8,34.3,28.7
Data section,32.8,26.3,24.0
Data section,25.6,24.4,24.3
Data section,19.6,21.0,18.3
Data section,25763.0
Data section,35.1,31.9,28.1
Data section,30.0,25.4,24.7
Data section,24.1,24.3,25.1
Data section,20.0,21.9,20.2
Data section,25794.0
Data section,34.0,31.1,27.4
Data section,29.6,25.3,24.5
Data section,24.4,24.5,25.3
Data section,20.7,22.4,20.7
Data section,25825.0
Data section,33.9,30.4,26.4
Data section,29.0,24.0,22.8
Data section,23.0,22.6,23.3
Data section,18.2,19.9,18.0
Data section,25855.0
Data section,32.3,28.3,23.5
Data section,26.7,21.2,19.4
Data section,20.2,19.3,19.1
Data section,14.4,15.6,13.3
Data section,25886.0
Data section,25.3,21.3,16.2
Data section,20.3,14.5,12.3
Data section,14.6,12.8,12.0
Data section,8.4,9.3,6.6
Data section,25916.0
Data section,19.8,15.9,11.1
Data section,14.8,9.3,6.9
Data section,9.1,7.1,6.0
Data section,2.8,3.4,1.0
Data section,25947.0
Data section,17.3,13.3,8.0
Data section,12.0,6.1,3.9
Data section,6.2,4.1,3.2
Data section,-0.2,0.6,-1.9
Data section,25977.0
Data section,19.8,15.7,10.2
Data section,14.4,8.4,6.0
Data section,7.9,6.2,5.5
Data section,1.6,2.6,0.1
Data section,26006.0
Data section,25.3,21.3,15.7
Data section,19.2,13.5,12.0
Data section,13.1,11.7,11.5
Data section,7.1,8.5,6.1
Data section,26037.0
Data section,32.5,28.2,22.7
Data section,25.8,19.8,17.9
Data section,19.1,17.9,17.6
Data section,12.8,14.3,11.9
Data section,26067.0
Data section,36.8,32.0,25.6
Data section,30.0,23.1,20.6
Data section,22.4,20.7,20.2
Data section,15.6,17.0,14.3
Data section,26098.0
Data section,38.1,33.7,28.2
Data section,32.7,26.1,24.0
Data section,25.7,24.4,24.6
Data section,19.7,21.3,18.7
Data section,26128.0
Data section,34.5,31.2,27.3
Data section,29.8,25.1,24.2
Data section,24.2,24.2,25.1
Data section,20.0,21.9,20.2
Data section,26159.0
Data section,33.3,30.4,26.6
Data section,28.9,24.5,23.5
Data section,23.5,23.6,24.3
Data section,19.6,21.2,19.6
Data section,26190.0
Data section,32.5,29.1,24.9
Data section,27.3,22.4,21.1
Data section,21.1,21.0,21.3
Data section,16.3,17.9,16.0
Data section,26220.0
Data section,31.0,27.0,22.3
Data section,25.3,19.8,18.0
Data section,19.4,18.3,18.1
Data section,13.7,15.0,12.6
Data section,26251.0
Data section,25.9,22.0,16.9
Data section,20.8,15.0,12.8
Data section,14.8,13.2,12.3
Data section,8.6,9.6,7.0
Data section,26281.0
Data section,20.8,17.0,12.2
Data section,15.8,10.3,8.2
Data section,10.6,8.4,7.5
Data section,4.3,4.9,2.4
Data section,26312.0
Data section,17.6,13.5,8.6
Data section,12.3,6.3,4.3
Data section,6.7,4.8,3.8
Data section,0.3,1.0,-1.4
Data section,26342.0
Data section,16.1,11.9,6.6
Data section,10.1,4.1,2.2
Data section,3.3,1.7,1.0
Data section,-3.4,-2.2,-4.6
Data section,26372.0
Data section,24.3,20.2,15.4
Data section,18.1,12.3,10.7
Data section,11.0,10.0,9.6
Data section,4.6,6.2,4.0
Data section,26403.0
Data section,29.5,25.2,19.6
Data section,22.9,16.9,14.7
Data section,16.0,14.7,14.5
Data section,9.6,11.1,8.8
Data section,26433.0
Data section,35.4,30.7,24.4
Data section,28.4,21.7,19.4
Data section,20.6,19.4,19.1
Data section,13.9,15.7,13.0
Data section,26464.0
Data section,38.6,34.2,28.5
Data section,32.6,26.1,23.9
Data section,25.2,24.0,23.8
Data section,18.9,20.5,17.9
Data section,26494.0
Data section,34.5,31.3,27.6
Data section,29.3,24.7,24.1
Data section,23.4,23.5,24.4
Data section,19.3,20.9,19.1
Data section,26525.0
Data section,32.5,29.6,26.3
Data section,28.0,23.6,22.8
Data section,22.4,22.5,23.3
Data section,18.3,20.0,18.4
Data section,26556.0
Data section,32.4,28.9,24.6
Data section,27.4,22.5,21.2
Data section,21.5,21.1,21.5
Data section,16.9,18.6,16.7
Data section,26586.0
Data section,30.0,26.0,21.0
Data section,24.4,18.8,17.2
Data section,18.6,17.4,17.1
Data section,12.8,14.2,11.9
Data section,26617.0
Data section,25.8,21.8,16.3
Data section,20.7,14.9,12.5
Data section,14.9,13.0,12.0
Data section,8.8,9.9,7.2
Data section,26647.0
Data section,19.2,15.2,10.3
Data section,14.6,8.9,6.6
Data section,8.9,6.7,5.8
Data section,2.6,3.2,0.8
Data section,26678.0
Data section,16.5,12.4,7.2
Data section,11.5,5.5,3.2
Data section,5.4,3.2,2.2
Data section,-1.2,-0.4,-2.8
Data section,26708.0
Data section,20.4,16.4,10.9
Data section,14.6,8.6,6.3
Data section,8.0,6.3,5.5
Data section,1.8,3.1,0.5
Data section,26737.0
Data section,23.5,19.4,14.0
Data section,17.3,11.5,9.2
Data section,10.1,8.9,8.5
Data section,3.6,5.2,3.0
Data section,26768.0
Data section,31.6,27.4,21.8
Data section,24.9,19.0,16.9
Data section,17.8,16.6,16.3
Data section,11.3,12.9,10.7
Data section,26798.0
Data section,36.5,31.8,25.5
Data section,29.6,22.8,20.4
Data section,21.8,20.5,20.0
Data section,15.1,16.7,14.0
Data section,26829.0
Data section,39.9,35.6,29.6
Data section,34.0,27.5,25.1
Data section,26.9,25.7,25.6
Data section,21.0,22.3,19.7
Data section,26859.0
Data section,34.5,31.2,27.3
Data section,30.0,25.4,24.4
Data section,24.3,24.4,25.3
Data section,20.3,22.2,20.5
Data section,26890.0
Data section,32.7,29.8,26.1
Data section,28.5,24.1,23.2
Data section,23.2,23.2,24.2
Data section,19.6,21.4,19.9
Data section,26921.0
Data section,34.3,30.8,26.5
Data section,29.2,24.3,23.1
Data section,23.2,22.9,23.4
Data section,18.7,20.3,18.5
Data section,26951.0
Data section,30.8,26.8,21.6
Data section,25.2,19.6,17.7
Data section,19.1,17.8,17.5
Data section,13.3,14.7,12.2
Data section,26982.0
Data section,25.7,21.6,16.5
Data section,20.8,14.8,12.4
Data section,14.9,13.0,12.1
Data section,8.8,9.9,7.1
Data section,27012.0
Data section,18.9,14.9,9.5
Data section,14.1,8.5,5.8
Data section,8.8,6.4,5.1
Data section,2.7,3.4,0.9
Data section,27043.0
Data section,17.2,13.2,7.9
Data section,11.9,6.0,3.6
Data section,5.5,3.8,2.8
Data section,-0.9,0.0,-2.6
Data section,27073.0
Data section,17.3,13.1,7.6
Data section,11.3,5.0,2.5
Data section,3.8,2.5,1.9
Data section,-2.8,-1.8,-4.1
Data section,27102.0
Data section,25.9,21.7,16.5
Data section,19.7,13.8,11.7
Data section,12.9,11.6,11.2
Data section,6.4,7.4,4.7
Data section,27133.0
Data section,32.1,27.8,22.1
Data section,25.6,19.6,17.4
Data section,18.7,17.5,17.2
Data section,12.4,14.1,11.7
Data section,27163.0
Data section,35.8,31.1,24.7
Data section,29.0,22.2,19.7
Data section,21.5,20.0,19.4
Data section,14.6,16.2,13.5
Data section,27194.0
Data section,37.2,32.8,26.8
Data section,31.4,24.8,22.4
Data section,24.2,22.9,22.7
Data section,17.9,19.6,16.9
Data section,27224.0
Data section,34.6,31.3,27.2
Data section,29.6,25.0,23.9
Data section,23.9,24.0,24.6
Data section,19.8,21.7,20.0
Data section,27255.0
Data section,33.8,30.8,26.9
Data section,28.9,24.5,23.5
Data section,23.3,23.5,24.0
Data section,19.4,20.8,19.1
Data section,27286.0
Data section,33.3,29.9,25.3
Data section,28.1,23.2,21.6
Data section,21.9,21.7,21.7
Data section,17.1,18.7,16.9
Data section,27316.0
Data section,30.2,26.3,21.3
Data section,24.6,19.1,17.2
Data section,18.2,17.3,17.1
Data section,12.4,13.9,11.5
Data section,27347.0
Data section,24.3,20.2,15.1
Data section,19.2,13.5,11.2
Data section,13.6,11.5,10.9
Data section,7.4,8.7,5.8
Data section,27377.0
Data section,16.9,12.9,8.0
Data section,11.8,6.2,3.8
Data section,6.0,3.8,2.6
Data section,-0.3,0.4,-2.7
Data section,27408.0
Data section,16.6,12.4,6.8
Data section,10.7,4.8,2.3
Data section,4.5,2.4,0.9
Data section,-2.0,-1.7,-4.3
Data section,27438.0
Data section,16.9,12.7,7.3
Data section,11.0,4.9,2.4
Data section,4.5,2.5,1.7
Data section,-2.2,-1.2,-3.5
Data section,27467.0
Data section,22.8,18.6,13.1
Data section,16.6,10.7,8.9
Data section,9.8,8.6,8.2
Data section,3.6,5.5,3.1
Data section,27498.0
Data section,29.3,25.0,19.2
Data section,22.7,16.7,14.5
Data section,15.8,14.7,14.3
Data section,9.4,11.0,8.9
Data section,27528.0
Data section,35.5,30.9,24.3
Data section,28.5,21.7,19.0
Data section,20.9,19.4,18.7
Data section,14.1,15.6,12.9
Data section,27559.0
Data section,37.1,32.7,26.8
Data section,31.2,24.7,22.5
Data section,24.2,22.9,22.7
Data section,18.0,19.7,17.2
Data section,27589.0
Data section,33.3,30.1,26.2
Data section,28.8,24.1,23.1
Data section,23.2,23.2,24.0
Data section,19.2,21.2,19.4
Data section,27620.0
Data section,32.9,30.1,26.5
Data section,28.8,24.5,23.3
Data section,23.6,23.7,24.5
Data section,19.8,21.7,20.2
Data section,27651.0
Data section,32.5,29.0,24.7
Data section,27.7,22.6,21.4
Data section,21.7,21.4,21.9
Data section,17.1,19.0,17.1
Data section,27681.0
Data section,31.7,27.6,22.5
Data section,26.1,20.5,18.4
Data section,19.7,18.7,18.3
Data section,13.8,15.3,12.9
Data section,27712.0
Data section,23.6,19.6,14.5
Data section,18.4,12.6,10.3
Data section,12.1,10.5,9.7
